accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
672,-422,16874,-0.01,-0.01,0,-219,-67,123,0.14,0.03,0.02
852,-358,16840,0,0,0,-217,-81,116,0.17,-0.18,-0.09
808,-346,16952,0,0,0.01,-236,-73,123,-0.12,-0.06,0.02
610,-464,17146,-0.01,-0.01,0.02,-232,-75,122,-0.06,-0.09,0
864,-350,16778,0,0,0,-231,-55,123,-0.05,0.21,0.02
708,-334,16720,-0.01,0,0,-240,-55,124,-0.18,0.21,0.03
788,-266,16794,0,0,0,-227,-71,123,0.02,-0.03,0.02
836,-260,16808,0,0,0,-225,-61,129,0.05,0.12,0.11
880,-342,16770,0,0,0,-228,-79,125,0,-0.15,0.05
834,-382,16790,0,0,0,-243,-72,121,-0.23,-0.05,-0.02
760,-362,16762,0,0,0,-222,-73,130,0.09,-0.06,0.12
810,-322,16758,0,0,0,-219,-81,111,0.14,-0.18,-0.17
868,-384,16744,0,0,0,-231,-59,125,-0.05,0.15,0.05
840,-408,16802,0,0,0,-248,-74,125,-0.31,-0.08,0.05
784,-260,16846,0,0,0,-226,-81,121,0.03,-0.18,-0.02
724,-294,16748,-0.01,0,0,-221,-55,122,0.11,0.21,0
884,-260,16916,0,0,0.01,-231,-76,126,-0.05,-0.11,0.06
870,-354,16772,0,0,0,-232,-64,122,-0.06,0.08,0
764,-358,16774,0,0,0,-227,-70,129,0.02,-0.02,0.11
710,-224,16690,-0.01,0.01,-0.01,-243,-73,120,-0.23,-0.06,-0.03
834,-344,16798,0,0,0,-226,-66,124,0.03,0.05,0.03
828,-336,16786,0,0,0,-216,-67,123,0.18,0.03,0.02
890,-194,16666,0,0.01,-0.01,-238,-58,126,-0.15,0.17,0.06
818,-492,16760,0,-0.01,0,-221,-54,127,0.11,0.23,0.08
794,-200,16728,0,0.01,0,-218,-76,124,0.15,-0.11,0.03
792,-554,16690,0,-0.01,-0.01,-243,-76,131,-0.23,-0.11,0.14
846,-316,16814,0,0,0,-224,-77,122,0.06,-0.12,0
856,-354,16742,0,0,0,-233,-71,119,-0.08,-0.03,-0.05
784,-306,16784,0,0,0,-230,-73,116,-0.03,-0.06,-0.09
736,-312,16790,0,0,0,-230,-61,116,-0.03,0.12,-0.09
740,-342,16714,0,0,0,-223,-72,117,0.08,-0.05,-0.08
848,-354,16776,0,0,0,-227,-74,126,0.02,-0.08,0.06
876,-292,16696,0,0,-0.01,-223,-79,115,0.08,-0.15,-0.11
808,-312,16734,0,0,0,-230,-62,125,-0.03,0.11,0.05
846,-282,16792,0,0,0,-227,-59,114,0.02,0.15,-0.12
830,-256,16814,0,0,0,-228,-64,113,0,0.08,-0.14
860,-506,16832,0,-0.01,0,-235,-59,112,-0.11,0.15,-0.15
878,-256,16714,0,0,0,-235,-76,123,-0.11,-0.11,0.02
780,-364,16842,0,0,0,-228,-71,125,0,-0.03,0.05
866,-286,16674,0,0,-0.01,-224,-71,123,0.06,-0.03,0.02
774,-394,16712,0,0,0,-240,-72,116,-0.18,-0.05,-0.09
824,-330,16908,0,0,0.01,-226,-64,119,0.03,0.08,-0.05
794,-382,16744,0,0,0,-213,-62,126,0.23,0.11,0.06
844,-416,16834,0,-0.01,0,-224,-77,128,0.06,-0.12,0.09
836,-250,16750,0,0,0,-223,-79,121,0.08,-0.15,-0.02
788,-452,16730,0,-0.01,0,-237,-70,117,-0.14,-0.02,-0.08
734,-366,16800,-0.01,0,0,-222,-88,124,0.09,-0.29,0.03
898,-246,16788,0,0,0,-234,-65,117,-0.09,0.06,-0.08
702,-392,16840,-0.01,0,0,-232,-64,123,-0.06,0.08,0.02
732,-296,16792,-0.01,0,0,-222,-64,123,0.09,0.08,0.02
742,-354,16842,0,0,0,-224,-68,124,0.06,0.02,0.03
692,-454,16862,-0.01,-0.01,0,-226,-72,124,0.03,-0.05,0.03
864,-118,16740,0,0.01,0,-235,-73,129,-0.11,-0.06,0.11
750,-302,16788,0,0,0,-237,-69,126,-0.14,0,0.06
902,-180,16794,0.01,0.01,0,-220,-84,118,0.12,-0.23,-0.06
812,-284,16840,0,0,0,-233,-67,132,-0.08,0.03,0.15
836,-294,16694,0,0,-0.01,-233,-51,117,-0.08,0.27,-0.08
768,-322,16808,0,0,0,-234,-62,131,-0.09,0.11,0.14
726,-326,16748,-0.01,0,0,-223,-77,128,0.08,-0.12,0.09
780,-436,16750,0,-0.01,0,-229,-68,118,-0.02,0.02,-0.06
818,-242,16912,0,0.01,0.01,-211,-90,123,0.26,-0.32,0.02
840,-326,16824,0,0,0,-232,-61,118,-0.06,0.12,-0.06
800,-212,16764,0,0.01,0,-224,-70,129,0.06,-0.02,0.11
746,-450,16740,0,-0.01,0,-228,-45,122,0,0.37,0
856,-418,16770,0,-0.01,0,-225,-64,120,0.05,0.08,-0.03
