accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
-15420,-528,-44,-0.99,-0.01,-1.03,-226,-69,119,0.03,0,-0.05
-15458,-502,20,-0.99,-0.01,-1.02,-228,-74,126,0,-0.08,0.06
-15334,-518,-6,-0.99,-0.01,-1.03,-220,-64,125,0.12,0.08,0.05
-15384,-604,-64,-0.99,-0.02,-1.03,-230,-71,129,-0.03,-0.03,0.11
-15452,-566,10,-0.99,-0.01,-1.02,-229,-66,132,-0.02,0.05,0.15
-15376,-430,-8,-0.99,-0.01,-1.03,-227,-78,123,0.02,-0.14,0.02
-15378,-546,-20,-0.99,-0.01,-1.03,-224,-74,113,0.06,-0.08,-0.14
-15458,-504,-44,-0.99,-0.01,-1.03,-235,-61,122,-0.11,0.12,0
-15378,-488,50,-0.99,-0.01,-1.02,-227,-74,118,0.02,-0.08,-0.06
-15426,-488,-44,-0.99,-0.01,-1.03,-226,-68,125,0.03,0.02,0.05
-15406,-506,48,-0.99,-0.01,-1.02,-235,-64,125,-0.11,0.08,0.05
-15334,-544,60,-0.99,-0.01,-1.02,-229,-72,128,-0.02,-0.05,0.09
-15404,-600,-64,-0.99,-0.02,-1.03,-227,-70,118,0.02,-0.02,-0.06
-15406,-530,34,-0.99,-0.01,-1.02,-223,-64,120,0.08,0.08,-0.03
-15432,-548,84,-0.99,-0.01,-1.02,-221,-68,124,0.11,0.02,0.03
-15424,-498,162,-0.99,-0.01,-1.02,-236,-60,130,-0.12,0.14,0.12
-15364,-504,-62,-0.99,-0.01,-1.03,-226,-67,127,0.03,0.03,0.08
-15400,-472,4,-0.99,-0.01,-1.02,-226,-70,115,0.03,-0.02,-0.11
-15376,-562,30,-0.99,-0.01,-1.02,-221,-64,122,0.11,0.08,0
-15350,-520,28,-0.99,-0.01,-1.02,-224,-69,116,0.06,0,-0.09
-15350,-540,-174,-0.99,-0.01,-1.04,-227,-70,130,0.02,-0.02,0.12
