accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
17116,-326,92,0.99,0,-1.02,-227,-62,125,0.02,0.11,0.05
17108,-304,8,0.99,0,-1.02,-228,-74,120,0,-0.08,-0.03
17144,-408,42,1,0,-1.02,-231,-78,118,-0.05,-0.14,-0.06
17198,-324,8,1,0,-1.02,-231,-84,126,-0.05,-0.23,0.06
17112,-382,80,0.99,0,-1.02,-226,-62,126,0.03,0.11,0.06
17176,-412,138,1,-0.01,-1.02,-224,-65,117,0.06,0.06,-0.08
17144,-402,210,1,0,-1.01,-229,-63,125,-0.02,0.09,0.05
17274,-342,144,1,0,-1.02,-222,-79,119,0.09,-0.15,-0.05
17214,-392,70,1,0,-1.02,-227,-71,121,0.02,-0.03,-0.02
17152,-398,148,1,0,-1.02,-235,-72,119,-0.11,-0.05,-0.05
